Stance,Q1_B1,Q1_B2,Q1_B3,Q9,Age,Gender,PostalCode
Strongly Opposed,We already have casino type gambling in the city at Woodbine Racetrack.,It would take away business from existing Casinos elsewhere in the Province annd local businesses.,OLG's Online gambling to come (I'm sure) will make up for any monetary shortfall.,T,Prefer not to disclose,Male,M4J
Strongly Opposed,my soul,"alternative depraved, less damaging options to make a quick buck (Ex. designated mugging zones)",do you remember what trees were like? have you read a book lately?,T,15-24,Prefer not to disclose,M4Y
Somewhat Opposed,,,,F,,,
Strongly Opposed,they are socially unsustainable,they are environmentally unsustainable,,T,25-34,Female,m6j
Strongly Opposed,the disavantages strongly outline the advantages,,,T,55-64,Female,m9c
Strongly Opposed,"Gambling feeds on misfortune, greed and robs people of their money",I live in the Beach and see the Woodbine off track facility drawing very scary characters into our neighbourhood,This is a revenue solution based in the history of organized crime - we need new revenue streams not legalized criminal activity,T,45-54,Male,M4E
Strongly in Favour,The casino is a good entertainment draw to bring people to the track and hopefully they will go to the races as well,,,T,65 or older,Female,L9Z
Strongly in Favour,there is no acceptable reason why there should not be a casino in Toront,there is no longer any prionciple to protect about whether or not there should be casino's...that horse has left teh barn,I am tired of driving an hour and a half in any direcetion to find a casion; surely we that live in Tronto can handle the impact as the citizens of myriad other locasl have,F,55-64,Male,M5p
Strongly Opposed,gambling is harmful,,,T,,,
Strongly in Favour,economic opportunity,expansion of convention centre,amenities,F,35-44,Female,m5m
Strongly in Favour,Revenue for the city,Jobs for the city,"Somewhere local to go for entertainment (Woodbine, Rama are both too far)",F,25-34,Female,M8V
Strongly Opposed,I do not want to have the city of Toronto dependent on the old vice of gambling to increase/improve ecomomic activity,"A casino becomes a economic black hole, peripheral restaurants and entertainment centers fade, because the casino can use food and entertainment as a lost leader.","Very uncreative and not very progressive,",F,,,
Strongly Opposed,Potential for personal and financial harm and/or addition,Generating money from addiction practices such as gambling is not how I want the city to generate money,The discussion from the Mayor and supporters only discuss Casino's in terms of a financial benefit and appears to be not a rounded discussion on the topic,F,45-54,Male,M4Y
Strongly Opposed,Health - re people with gambling addiction,Family - repercussions due to loss of $ spent at the casino,Logistics - having an even greater influx of aotus into the city that is already dealing with severe traffic problems,T,Prefer not to disclose,Female,M5M
Strongly in Favour,expansion of Woodbine would sustain and also create thousands of jobs,a casino is an asset to the future of the community,provision of revenue to the cityi,F,45-54,Female,M9W
Strongly Opposed,current large casinos are losing money,we already have a gambling site in Toronto at Woodbine.. jsut expand if necessary,"""Toronto the Good"" downtown doesn't need anymore crime issues",T,45-54,Male,K0A
Strongly Opposed,Social and financial repercussions of gambling,Disruption to downtown neighbourhoods,Increased traffic to downtown Toronto,T,55-64,Female,M4G
Strongly in Favour,I love to gamble,"It would be good for the city - would bring in money, offer employment opportunities, etc.",It would be an exciting tourist attraction,F,25-34,Female,M5V
Strongly Opposed,Studies on other casinos have shown they contribute little to urban areas.  Jobs can be created in other ways.,Casinos exploit the vulnerable and only take money from tourists that they could spend on other attractions and restaurants.,"Casinos are not money makers, they create other social costs such as gambling addiction.",T,35-44,Male,m4t
Strongly Opposed,Toronto's response to economic difficulty is to promote gambling? I'd rather we invested in a more creative venture.,It doesn't promote real diversity; Toronto already has opportunities to gamble. So it seems a wasted opportunity.,Why begin a major venture that comes laden with social and mental health hurdles?,F,35-44,Female,M1G
Somewhat Opposed,Detract from other entertainment in downtown.,Problems with habitual gamblers.,,T,Prefer not to disclose,Female,M1S
Neutral or Mixed Feelings,I don't want the Casino downtown as it will only increase the traffic congestion and use it valuable land that could be used for residential needs,"I would not object to the Casino being built near the Woodbine Racetrack, that way gamblers could have it all in one area",,F,35-44,Male,M6R
Strongly Opposed,Gambling is not a good habit,There are other ways besides gambling entertainment in a casino setting to attract tourist,Casinos do not benefit the bigger population,T,15-24,Male,L6C
Strongly in Favour,Jobs,Tourism,Entertainment,F,45-54,Male,M3A
Strongly Opposed,Economic benefits from a casino are over exaggerated,Projected revenues to the city are unrealistic in comparison to revenues paid to other cities that have permanent casinos in Ontario,"No one has put an estimate on the social costs of increased gambling, addiction and other social impacts of a casino",T,55-64,Female,M8Y
Strongly in Favour,I enjoy going to the casino.,"The current nearest casino is in Rexdale, Woodbine Racetrack which is quite a distance to travel.",Toronto needs a city casino - as other large cities currently have.,F,65 or older,Female,M5T
Strongly Opposed,gambling addiction,"old idea - there are newer, healthier ways to generate jobs and grow the local economy",poor economic record in other communities when all externalized costs are taken into account,T,55-64,Female,M2J
Strongly Opposed,"Top priorities for our city should be schools, more green spaces, affordable housing, and accessible public transportation instead of places where people gamble the little money they have","a world class city is not made by the number of gambling houses it has but by its museums, art galleries, cultural festivals, historical landmarks, etc.","I am a taxpayer and my money will not be well invested in a casino, it is an irresponsible use of the monies that we contribute to the city each year.",T,35-44,Female,M6H
Strongly in Favour,will generate revenue for the city,attract tourism,will provide additional entertainment avenues for local torontonians,F,35-44,Male,m9w
Strongly Opposed,"Gambling is not a healthy activity, it is addictive and destroys family life (my sister's and my mother's)",losing large amounts of money can occasionally lead to suicide,,T,65 or older,Female,M4R
Somewhat in Favour,Generate Income for the city and keep taxes in check!,,,F,25-34,Female,
Strongly Opposed,"I do not agree that the casino will necessarily be profitable, when considered within the context of the community and social costs associated with gambling. As well, the vast majority of the profit will not accrue to Toronto but private operators and the OLG. This does not represent a good deal for Toronto.",A casino is not the best way to develop the tourist industry. Toronto is famous for its civility and that it is a world-class city. I cannot think of many world-class cities that have a casino. Regardless ��a casino does not reflect the community values of Toronto.,"A casino downtown will degrade the already disruptive Entertainment  District by adding to density and likely increase cases of vandalism, assault, and rowdy behaviour.",T,45-54,Male,M6C
Strongly Opposed,"Revenue to build city infrastructure should not be generated from those with addiction. Will cost more in externalities, such as addiction costs.","It acts as an economic blight on area of city its located in, lowering property value and discouraging other beneficial development","The negative impact on those lives with addiction, and it has links to criminal activities in our communities, such as loan sharks.",F,25-34,Male,M6G
Strongly Opposed,A downtown casino would destroy the street life near it or ruin any chance of revitalizing an area,Traffic is already horrendous - do not need the added cars going to a casino,"Casinos are not quality jobs - eg, health studies all point to the issues created by shift work.",T,Prefer not to disclose,Prefer not to disclose,M8G
Strongly in Favour,the need to support the raceing industry in ontario,,,F,55-64,Male,M5W
Strongly Opposed,"A casino would contribute to gambling addiction and its associated health, social (e.g., rise in crime rates), and financial (e.g., costs of dealing with addiction and law enforcement costs) consequences for those affected,their families, friedns, and community","A casino would  serve to very negatively affect existing small businesses (e.g., restaurants, retail shops) and entertainment industries because no new revenue will be generated-- the maoney will simply be transferred form existing businesses to the casino","A casino would contribute to the erosion of quality of life for people the neighbourhood where it would be located and, more broadly, for the citizens of Toronto",T,Prefer not to disclose,Prefer not to disclose,M4M
Somewhat in Favour,Will bring more tourists,Help boost economy,,F,25-34,Female,M8v
Strongly Opposed,terrible precedent,congestion,creates temptation to gamble,T,Prefer not to disclose,Female,
Strongly in Favour,provides an excellent source of revenue to the city alleviating costs to residents,Creates jobs in Toronto,will attract tourism to the City of Toronto,F,35-44,Male,m1j
Somewhat Opposed,I wouldn't use a casino,I firmly believe it will create an increase in crime,I don't believe the city of Toronto will benefit to a great amount by the addition of a casino,F,55-64,Male,M5R
Strongly Opposed,"Devastating effect on people, with and without gambling addictions.",Negative impact on neighbourhood in which new casino is built.,Negative impact on communities/jobs in Southern Ontario where casinos already exist.,T,35-44,Female,M6J
Somewhat in Favour,Would bring more development to the downtown core,Would hopefully bring better transportation to the downtown core,,F,25-34,Male,m5j
Strongly Opposed,Bad for neighbourhoods,Bad for public health,Bad for local venues,T,,,
Strongly Opposed,gridlock,crime,tax increases,T,35-44,Female,M5T
Strongly Opposed,Casino's prey on the poor and vulnerable,Inefficient use of public space,Will provide No benefits to the people of Torontoo,T,15-24,Male,M6S
Somewhat in Favour,another entertainment option,"If there is demand for it, why not?",,F,25-34,Male,M8X
Strongly Opposed,Casino's divert $$ from one pocket to another,casino's prey on the poor,,T,45-54,Female,N3L
Strongly Opposed,"Gambling, and the lotteries and casinos which make this possible, appear to generate tax and other revenues, but the social costs, if properly calculated, are more likely to show a net loss to society, especially in terms of the ""lost opportunity cost"" of doing other, better, things to develop Toronto.",,,T,65 or older,Male,M8Z
Strongly Opposed,Location would make our small local buisness suffer,Type of facility would bring conflict and crime to our downtown core,"Do not like the negative form of ""entertainment"" a casino provides",T,25-34,Female,
Strongly Opposed,It's addictive,the vast majority of people lose a lot more money than they ever win,It's morally wrong to gamble,T,45-54,Female,M1G
Somewhat in Favour,"concern that infrastructure to support the casino will be put in place - police, parking, transit, gambling education","concern that revenue generated will not be used responsibly - would like to see it go to city infrastructure - including police, fire, ems, housing, transit",thrilled at the opportunityy to generate jobs,F,35-44,Female,m9a
Strongly in Favour,Need funds for transit,Tourism,,F,55-64,Male,M6R
Strongly Opposed,"I do not see Casinos as contributing to Toronto becoming a ""world class city"".",The current Casinos outside of the city are accessible for Toronto residents who want to use them.,I do not support the concept of government encouraging gambling.,T,45-54,Male,M4E
Strongly Opposed,keep gambling where it belongs at the racetrack...,,,T,35-44,Male,l3m
Strongly Opposed,Casinos create gambling problems and create costly demands on other social services.,I doubt that the casino will have a positive impact on other kinds of development in Toronto.,I believe the projected jobs and revenue are overestimated.,T,25-34,Male,m6c
Strongly Opposed,a casino would be detrimental to local businesses in Toronto.,the social costs would be significant,the financial benefits of a casino would not outweigh the economic and social costs,T,55-64,Female,M6H
Strongly Opposed,"Encourages ""being lucky"" instead of hard steady work","Only ""poor"" countries have to rely on winning this way",Addiction to gambling ruins many lives,T,65 or older,Female,M5J
Neutral or Mixed Feelings,bring in money to the city,,,T,55-64,Female,m9w
Strongly Opposed,It may increase crime,more security will cost taxpayer mor money,It will bring along other unuasal activities.,T,65 or older,Male,m2j
Strongly in Favour,Revenue for the City,Tourist attraction,Employment opportunities,F,35-44,Male,m1v
Strongly Opposed,"I do not believe that casinos contribute to a positive image of what i want to see for Toronto as a ""world class city","Toronto residents have access to casinos which are currently outside the city in Port Perry, Niagara Falls, and Orillia to name a few.",I do not support the government/s encouragement of gambling of any form,T,45-54,Female,M1H
Somewhat Opposed,I don't mind having a casino in the GTA - just not in downtown or ANYWHERE on the waterfront,Our waterfront deserves better.  Look at Vancouver who turned a lovely building from Expo into a dark hole on False Creek.  Insulting and sad at best.,"I do not believe the purported economic benefits.  Would be great if they came true, but see my comments in #1 and #2 above.",F,45-54,Male,M5A
Strongly Opposed,Casinos prey upon the weakest of our society.,They often force people into poverty.,They attract other socially-damaging trends.,T,25-34,Female,M4J
Strongly in Favour,Having a new Casino in Downtown Toronto will increase Revenue for our city.,Better Tourist Attraction for our City.,Will increase jobs.,F,55-64,Female,M6C
Strongly Opposed,A casino will hurt small business surrounding the complex,The infrastructure will be unable to handle the size and scope of the proposed concepts,Toronto does not need a casino. The revenue generated will never pay for the damage it will do to the local economy,T,35-44,Male,M6H
Strongly Opposed,GAmbling is not good for you.  You could lose everything you have.,"Gambling can become an addiction, and that's sad because families can be broken up etc.",,T,65 or older,Female,M1R
Strongly Opposed,"Location (ie:  not downtown, not Toronto at all!)",Visual impact on the waterfront and downtown,Impact on small local businesses and on casinos in other areas near Toronto,T,55-64,Female,M4L
Strongly Opposed,against gambling as a way to bring in revenue for the city,addicted  and people who can least afford gambling are the users,UGLY .and crowded,T,45-54,Female,M6
Somewhat in Favour,might be good entertainment,possible tourist draw,concern about impact on neighbouring businesses,F,45-54,Male,M4L
Somewhat Opposed,I appreciate that it will create jobs,Depends where it will be built,Don't want to increase traffic in the city core,F,25-34,Female,m6p
Strongly in Favour,"The Casino would be close to my home, so I would not need to travel a great distance",It will help create jobs. I'm currently a poker dealer looking for work,,F,15-24,Male,L4J
Strongly Opposed,It makes Toronto seem cheap and tacky,Gambling is an adictive activity where noone wins except the owners,,F,,,
Strongly Opposed,social problems with gambling addictions,lack of transit to support the numbers of people predicted to come which will lead to increased traffic and pollution for neighbours,"any financial advantages will be offset by the harm done to the surrounding community--economic harm to local businesses, increased costs of policing and security",F,55-64,Female,
Strongly Opposed,Social concerns / public safety,"Problem gambling, esp. in an urban area",,T,35-44,Female,m5c
Strongly Opposed,Detracts from local businesses,Loss of money back into Canadian economy,,T,25-34,Male,m6j
Strongly in Favour,I own a condo close to Woodbine racetrack and we need more jobs here,"With more people visitng the casino, vendors in the surrounding area will benefit",There's lots of space owned by Woodbine racetrack to facilitate a full casino and hotel,F,35-44,Female,M9W
Strongly Opposed,A casino is not the right cultural attraction for a city as sophisticated and rich with art/culture as Toronto,Casinos are not family friendly and appeal to a limited demographic. This wastes prime real estate on the lakeshore that should be accessible to all the people of our city.,"Casinos detract from and compete with what makes this city great � strong local character, independent shops and restaurants, and eclectic cultural and entertainment venues.",T,35-44,Female,M6J
Neutral or Mixed Feelings,"I,m not sure what form he casino would take.",I'm not sure where it would be.,Gambling is always somewhat problematic.,F,35-44,Female,M6p
Somewhat in Favour,there will be increased employment,there will be increased revenues,,F,Prefer not to disclose,Female,M8V
Strongly Opposed,The likelihood of becoming a pathological or problem gambler is DOUBLE for a person living within 50 miles of a casino.,"Problem gambling has a range of negative effects on physical health, including addiction, depression and suicide, not to mention the financial impact on the family and on society.","We already have a serious transportation problem in the GTA. A casino will not only increase the health and social problems associated with problem gambling, it will destroy our neighborhoods.",T,45-54,Female,M6R
Strongly Opposed,health concerns,exploitation of vulnerable people,income estimates seem inflated.  It won't bring the money to the city that the Mayor indicates,T,45-54,Female,m6g
Strongly Opposed,Encourages gambling adictions,More congestion at the waterfront,,T,45-54,Male,M6H
Strongly Opposed,"Adds no value to downtown, people come simply to gamble.",Will have negative affect on other businesses.,"Destoys neighbourhoods, creates social problems.",T,45-54,Male,M4J
Strongly Opposed,The terrible experience of casinos in other cities like Atlanta or Windsor,The fact that people are gambling AWAY THEIR MONEY!,"The ugly physical profile of cities with casinos. No major, respected metropolitan city has one. Why? They are scourges.",T,55-64,Female,M8V
Strongly Opposed,Lowers world class level of Toronto,Brings crime element,Financial benefit overstated,T,,,
Strongly Opposed,Taking Jobs from and closing casinos and slots in other cities and towns,Does not improve adjacent businesses when located in a major city,traffic congestion in an already congested city,T,55-64,Male,M5C
Strongly in Favour,increased mix of entertainment options for residents and tourists,increased tourism generating revenue for local businesses,catalyst for rejuvenation of the front street canyon and rail area,F,35-44,Male,M5V
Strongly Opposed,Bad example for young people,Gambling can be highly addictive,,T,65 or older,Male,M4W
Strongly Opposed,add nothing to the city : people gamble and live the city,create addictions - social concerns,,F,45-54,Female,M$J
Strongly Opposed,Highways will be to congested,"Their are already too many activities going on like baseball, hockey, basketball, soccer, indy ect.",Parking will cost a lot.,F,55-64,Female,M9R
Strongly Opposed,Supports gambling,Increases iligal activity,Destroys families,T,55-64,Male,M2n
Strongly Opposed,Gambling addiction,Bad temptation to lose large amounts of money,Investment of time an resources by government could be better used creating institutions that provide better value to residents,T,,,
Strongly Opposed,casinos exploit gamblers,Casinos do not create true prosperity,,T,55-64,Male,M1M
Strongly in Favour,money coming to Toronto,jobs,,F,55-64,Male,m9r
Strongly Opposed,Casinos create gambling addictions (note Harrah's Casino reward card),"Casinos may create a windfall in the short term, but in the long term the social costs far outway the initial gains.",Organized crime.,T,45-54,Female,m6k
Strongly Opposed,Casinos contribute to gambling and alcoholism issues,"Casinos do not foster strong, economically diverse communities",,T,15-24,Prefer not to disclose,M6R
Neutral or Mixed Feelings,No Information on Transportation to and from proposed sites,Not enough information on the true cost of creating a casino and ongoing costs,How have the constituents been involved in the planning - does their voice count????,F,65 or older,Female,M5R
Strongly Opposed,Casinos encourage gambling which is a form of regressive taxation,Casinos detract from streetscapes,I don't want my tax dollars to support a casino,T,55-64,Male,m4r
Strongly Opposed,"Gambling allures the sinful side of human being, which will hurt the whole society ultimately.","Gambling will cause a lot of social problem, and waste people's time, energy and money.","Gambling itself will not create any new value, and it steal money from people.",T,35-44,Female,M8V
Strongly Opposed,Afraid it will destroy the local economy,Increase in unemployment,,T,,,
Strongly Opposed,Does not fit the image for our city,Negative effects of gambling on society,,T,25-34,Male,M6P
Strongly in Favour,fire the * union workers.,,,F,,,
Strongly Opposed,Negatively affect quality of life,Does not statistically provide inflow of money into economy,Will encourage gambling,T,15-24,Female,
Somewhat in Favour,Attracts tourism,Creats jobs,Additional money for the city,F,35-44,Female,M5V
Strongly Opposed,The negative social effect of gambling addictions that casinos will have on families residing in Toronto,"Other nearby cities already have casino's (Montreal, Niagara Falls)",,T,15-24,Male,M1W
Strongly Opposed,Refusal to live in a city with a reputation of gambling,The potential of drastic and negative economic changes,Children and families that will negatively be affected and influenced by it (Socially and economically),T,25-34,Female,M1S
Strongly Opposed,pointless traffic,it is immoral to exploit the desperate,there are already 2 casinos. one in toronto is superfluous.,T,55-64,Male,m5t
Strongly Opposed,Against gambling,,,F,35-44,Female,M5m
Strongly in Favour,It will provide needed jobs in the city.  Bring much needed funds to the city.,"Needlesss to say there are people who are addicted to gambling, but what about alcohol addistion they don""t stop selling liquor.  It is up to a person to be responsible for themselves.","People who wish to play at the Casino can pay $5.00 for a bus to tke them out of the city, so why not just have it right here.  Exhibition place is perfect for aan establishment. To contain other than gambling.",F,65 or older,Female,M1H
Strongly Opposed,gambling addictions...have in the family...horrible stuff,it sucks business out of small business,,T,,,
Somewhat in Favour,Economic Benefit to Toronto.,Jobs,Tourism,F,55-64,Male,M2R
Strongly Opposed,Casino will promote addictive behaviour,Casino should not be near downtown neighbourhoods,trafic and pollution,T,45-54,Female,M6J
Strongly Opposed,"More addiction, broken families",More bankrupcy,More crime in the city,T,Prefer not to disclose,Female,M2K
Strongly Opposed,ruins economy of retail and other services and community surrounding it,don't need another entertainment centre in downtown toronto,they are blights -,T,45-54,Female,M2L
Strongly Opposed,traffic jams in a city already lacking proper roads and public trasportation,"toronto is a city of cultures and art, don't turn us into a city of sin like vegas",creating chronic gamblers out of normal citizens and how are you going to deal with that?,T,35-44,Female,M6S
Strongly in Favour,Toronto needs the money,,,F,25-34,Male,M2R
Strongly Opposed,We may experience raise in criminal activities.,The traffic will be messier and our current limited transportation system won't be able to afford extensive increase in traffic.,,T,35-44,Female,M2N
Strongly in Favour,Revenue,Entertainment,Expanding Toronto,F,25-34,Male,M5V
Strongly Opposed,Does not recirculate money back into the local economy,"Our waterfront should be preserved, improved, and developed with better uses (environmental concern)",,T,25-34,Female,M6G
Strongly Opposed,It will unquestionably bring crimes and illegle drugs with it destroying our families and social stability.,The jobs and revenues generated by the casino are lazy/non-productive jobs and passive revenue. We need economic actions to create productive jobs and active revenues.,"There're casinos at Niagara Falls and Woodbine Race Track already.  We don't want another one next to our door steps, creating catastrophic traffic problems.",F,45-54,Male,L5V
Strongly Opposed,Very likely to increase rates of gambling addictions,Casino would take over precious waterfront property that should be available for public use / parkland,Negative effect on nearby residential property values and small businesses,T,65 or older,Female,m6s
Strongly Opposed,I think there are much better ways to raise tax $$ in Toronto than preying on those with addictive tendencies.,"A casino will not attract toursits, rather mostly locals from the GTA who would otherwise spend their $$ elsewhere in the GTA.","Studies show that of all forms of gambling, casinos have the greatest potential to increase crime. Fraud � Money Laundering - Bad Cheques � Bad Loans.  subsidized alcohol is provided, studies have shown an increase in alcohol related offences",T,45-54,Male,M6J
Strongly Opposed,To stop casino in Toronto,,,T,15-24,Prefer not to disclose,M9A
Strongly Opposed,,,,F,,,
Strongly Opposed,gambling is wrong,this is not vegas,"only the people that cant afford to gamble, gamble",F,,,
Strongly Opposed,concern for the urban texture of the city,concern over the effect on smaller local businesses and traffic patterns,"great cities do not have casinos - they sap character and distinctiveness, including neighbourhood integrity",T,,,
Strongly Opposed,People have problems knowing their limits with gambeling and this destroys families,Gambeling is an addiction and it destroys lives,It will make Toronto an undesireable and crime filled city which it does not need more of,T,35-44,Female,M4J
Strongly Opposed,Increased addictions to gambling,Destruction of neighbourhoods,Not the kind of quality jobs our people need,T,45-54,Female,M6P
Strongly Opposed,I do not believe casino gambling enhances people's standard of living.,I believe Toronto has significant contributions in the areas of arts and culture that are NOT enhanced by adding casinos.,,T,55-64,Male,M1E
Strongly Opposed,,,,T,25-34,Male,M5J
Strongly Opposed,"Casinos are a poor investment for Toronto. There is nothing that a casino can offer Toronto except a gambling venue, as we already have top-notch performance venues and convention facilities around the city.","Unless our city name has been changed to Las Vegas or Atlantic City and we've built our entire reputation on gambling, a casino will not make Toronto a more desirable tourist destination.","I do not believe any of the reports which report strongly positive results for a casino in Toronto, as they start from flawed assumptions.",T,35-44,Male,M8V
Strongly Opposed,negative economic impact as demonstrated in many other cities with casinos,negative social impact also previously demonstrated in cities with casinos,long term negative impact on mental health due to increased prevalence of gambling addictions (also prevously demonstrated,T,45-54,Female,m4g
Strongly Opposed,May cause social and family problems when it's too easily accessable,Create traffic problems,Crime may increase,F,45-54,Female,M2N
Strongly Opposed,"You can gamble online, it's a dying industry",Congestion,"Waste of opportunity, time, money",T,,,
Strongly Opposed,Gambling can strain relationship,Gambling interfers work,Gambling can lead to financial castastrophe,T,45-54,Female,M1V
Strongly Opposed,I think that having a casino so accessible will create and increase gambling addictions,Many people and families who have financial issues will try their luck and this can potentially leave them worse off then they were. It ruins families.,I really believe that many people are susceptible to gambling addiction and please don't complicate our city by creating potential issues.,F,25-34,Female,m9r
Strongly Opposed,There are better ways to use proposed spaces,Effect on community and potentially contributing to gambling problems,,T,35-44,Female,M6P
Strongly in Favour,Solid revenue which can self-fund appropriate (and legally mandated) security measures and mental health initiatives,,,F,55-64,Male,M9B
Strongly in Favour,It brings money to Toronto,It provides jobs for many people,A 'world class city' should have a big casino,F,35-44,Male,M4X
Strongly Opposed,Destroying the decency in the city,Ruining lives,Corruption,T,35-44,Male,L4Y
Strongly Opposed,the buildings that will need to be destroyed in order for this to be built will probably be cultural building like historic theatres. cultural sites are being torn down in toronto constantly to make way for condos and a casino will only increase the speed of toronto's cultural decay,,,T,25-34,Female,l4b
Strongly Opposed,This is not the way to raise money to run our city,This adds,,F,,,
Strongly Opposed,This is not an appropriate way to raise money to run our city - also the estimates are very inflated,"This adds to pollution - extra traffic, etc",Busloads of people coming to a cassino will not add to our revenues nor will they have achance to enjoy the best of Toronto,T,65 or older,Female,M4K
Strongly Opposed,They bring or create thugs,Cause mental depression,All business will move away once they come in.,T,,,
Strongly Opposed,gambling is a serious addiction problem,those addicted to gambling are often living in poverty,,T,55-64,Female,M6P
Strongly in Favour,work in racing industry and it adds another avenue for revenue to keep the industry alive,,,F,45-54,Female,L0S
Somewhat in Favour,Woodbine has been a favorite place of mine for watching horse racing and playing the slots,,,F,65 or older,Male,L0L
Strongly in Favour,Tourism,,,F,55-64,Female,M4C
Strongly Opposed,From what I've read downtown Casinos have been woefully unsuccessful.,I haven't see any reasonable case made that it will result in increased revenues over the existing gaming model.,,F,55-64,Female,M5N
Strongly Opposed,Immoral,Leads to too many other social issues,Addiction,T,25-34,Female,l4e
Strongly Opposed,Crime would increase,Families would deteriorate,Domestic violence would increase,T,,,
Strongly Opposed,,,,T,55-64,Female,M4W
Strongly Opposed,too many casino around Toronto already,prefer to have more family orientated facilities,It may create criminal activities,T,55-64,Female,M2N
Strongly Opposed,Preserve City Image,Preserve local city businesses,Money should be spent on something more useful and culturally significant,T,15-24,Female,m5s
Strongly in Favour,Toronto is a world class city. World class cities have large casino complexes.,"Melbourne, Australia has done very well with incorporating the casino into the city and the entertainment district.",,F,35-44,Female,
Strongly Opposed,"The social problems it engenders (gambling addiction, crime, poverty).",The casino would transfer wealth but would not create any.,No evidence that the casino would be a net job creator.,T,35-44,Male,M4M
Strongly in Favour,Jobs,,,F,25-34,Female,M5T
Strongly Opposed,,,,F,35-44,Male,m5x
Strongly in Favour,to support Woodbine,to give citizens choice,,F,65 or older,Male,M5R
Strongly Opposed,it attracts people who cannot afford to gamble.,increase in  traffic which toronto cannot handle,could be a hang out for drug addicts,T,65 or older,Female,m1e
Strongly Opposed,casinos are appalling places that tax the poor,"the jobs created are no value added jobs, terrible jobs","promotes crime, from casino owners to patrons",T,45-54,Male,m5a
Strongly in Favour,Funds will come to Toronto instead of Rama or Niagara Falls,Good jobs,Good entertainment,F,65 or older,Female,M2N
Strongly Opposed,social and health consequences that are brought upon by having a casino in the city,does not align to the image that I feel Toronto should have,addictions and crime levels,T,25-34,Male,m3c
Strongly in Favour,A new casino will sustain existing jobs at Woodbine and generate new jobs to the city,A new casino will be good for the economy,A new casino will provide revenue to the city,F,35-44,Female,M9W
Strongly Opposed,"Toronto should be promoting arts, culture, and sport - not a destination that is solely about greed: taking money from those who can't afford it.","Adding other entertainment options to the casino (a theatre, etc.) doesn't take away from its core function.",,T,45-54,Male,M8Y
Strongly Opposed,A casino invites people to waste precious time in gambling.,"Gambling destroys families and relationship, which is being proved every day in US and China and other nations.",This only shows that the incompetent government just knows to stupidly follow other countries' mistakes.,T,,,
Strongly Opposed,"Woodbine is a great casino by the airport, we don't need another",Traffic in the downtown core is severe enough,,T,25-34,Female,M6J
Somewhat Opposed,Gambling problems in families,Gambling promotes greed,,F,Prefer not to disclose,Prefer not to disclose,M4L
Strongly Opposed,It may lead to an addiction with negative consequences...,,,T,45-54,Male,L3R
Strongly in Favour,Provide much needed jobs in Toronto to help employ people who have been unemployed and unable to find work.,Provide a great amount of revenue for Toronto so that we can use it to fix our infastructure.,Add to our wonderful tourism as another option for people who are visiting Toronto.,F,45-54,Female,M6C
Strongly in Favour,Jobs,Money for city,Entertainment value,F,35-44,Male,M6M
Strongly in Favour,,,,F,15-24,Female,L1C
Strongly Opposed,Expense,Loss of the CNE Tradition,Too many people/traffic,T,25-34,Female,M6J
Strongly Opposed,"The Ontario Health Board recommended against. Other prominent voices about the ""problem gambling"" have convinced me that a casino is a very bad idea for the mental health of a city.",I do not believe that the social costs have been estimated correctly by the proponents of the casino.,I do not believe that a casino would help Toronto social life or Toronto finances.,T,,,
Strongly in Favour,"must be located at Woodbine and operatedby Woodbine to effectively save the existing 7,500 jobs dependent upon same",,,F,Prefer not to disclose,Female,M6E
Strongly Opposed,Social problems related to gambling,,,T,65 or older,Male,M1L
Somewhat Opposed,I feel that there are enough casino's within easy travelling distance of Toronto.,While a new casino may generate money for the city and jobs I don't feel that it is something that Toronto really needs.,,T,25-34,Male,M4L
Strongly Opposed,I do not believe that Casinos are an appropriate way in which to raise funds for the public purse.,I do not believe that Casinos are positive contributors to the economy and neighbourhood.,I believe that a Casino will harm existing businesses.,T,45-54,Male,M4P
Strongly Opposed,Casinos prey on people with gambling addictions,"Gambling does not contribute to a prosperous, engaged, lively city.",Large developments on the waterfront will only limit public access to what could be a beautiful destination.,T,35-44,Prefer not to disclose,M5S
Strongly Opposed,A casino would ruin the waterfront.,It is not what I'd want people to think of when they think of Toronto.,Toronto is supposed to be full of art and culture and I feel a casino represents the opposite of that image.,T,25-34,,
Strongly Opposed,Associated crime and social problems,There's already two near enough,Costs money to build,T,15-24,Female,M4y
Strongly Opposed,"Reviewing other cities where casinos were built, the long term impact has been negative to the economic and social fabric of the community","Unlike manufacturing, the spin off impacts of a casino do not have the same multiplier effect","At the end of the day casinos are run to make profits for the owners, these profits are removed from the city",T,45-54,Male,MgG
Strongly Opposed,casinos attract many facets of criminality,our city should not encourage such criminality,"therefore,  we should not support the building of a casino",T,,,
Strongly Opposed,Gambling addiction has caused many social problems - we do not need another venue for this to occur,,,T,35-44,Female,M6P
Strongly Opposed,Gambling brings problems,Attracts wrong sort of people,Not a family attraction,F,35-44,Female,L5L
Strongly in Favour,Employment opportunities,Tourist dollars,,F,55-64,Female,M9M
Strongly Opposed,Increase in crime inevitable,Addiction is a worry,,T,35-44,Female,M9C
